Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC
Date,,,,,,,,,,,,,,,,,,,,
2022-04-05,159.9993896484375,56.257110595703125,25.886714935302734,4525.1201171875,161.83711094536056,56.95053143874286,27.27234500388807,4593.4501953125,158.8102653565582,56.167053933113955,25.775904439568993,4514.169921875,158.9724249171919,56.194072649545916,27.20745547738951,4572.4501953125,7446100,15721200,436615000,4800620000
2022-04-06,164.1613311767578,56.82445526123047,24.365320205688477,4481.14990234375,164.4946538859365,56.968542494050325,25.256794895732096,4503.93994140625,160.90927322999542,56.1040190971312,23.96201077926556,4450.0400390625,161.60292921058365,56.527276846487915,24.891420684040277,4494.169921875,10330900,19267400,703833000,4986830000
2022-04-07,163.73788452148438,57.13063430786133,24.166662216186523,4500.2099609375,164.80989424980737,57.33775946585191,24.6797844406639,4521.16015625,162.3595902267346,56.473236171114664,23.437909232802625,4450.2998046875,163.65681162081185,56.851467259631086,24.399264143647642,4474.64990234375,7385200,13960800,557992000,4821490000
2022-04-08,164.06219482421875,57.48185729980469,23.07952117919922,4488.27978515625,165.02610738075248,57.6709711500392,23.882149111451874,4520.41015625,162.53976171841404,56.87848964651423,23.022619305237257,4474.60009765625,163.35053198710992,57.1666641141032,23.87615883921642,4494.14990234375,7144500,12703500,524781000,4083200000
2022-04-11,162.00827026367188,57.46384811401367,21.879573822021484,4412.52978515625,165.93596249907696,57.90511721636498,22.281885527688033,4464.35009765625,161.79207584895326,57.310753490022535,21.623012711854688,4408.3798828125,164.8549491879938,57.55390135025969,22.17606754119229,4462.64013671875,5932000,12720100,575207000,4266290000
2022-04-12,162.06234741210938,58.139244079589844,21.467275619506836,4397.4501953125,162.88212136785458,58.364380566106995,22.68619109093754,4471.0,160.53091047285034,57.535879944672764,21.245654624701253,4381.33984375,161.43175734839477,57.97714553447268,22.49851242767884,4437.58984375,5957500,18089900,662258000,4152090000
2022-04-13,162.74697875976562,58.29235076904297,22.165082931518555,4446.58984375,162.9091245783668,58.418426670566376,22.461576626486607,4453.919921875,161.46777801164387,57.842077729138985,21.418361102559462,4392.7001953125,162.06232642567886,58.031191581424096,21.690895614899215,4394.2998046875,5643100,11883000,516943000,3828150000
2022-04-14,162.06234741210938,58.553497314453125,21.221698760986328,4392.58984375,163.413617725426,59.048800357774276,22.738105886263995,4460.4599609375,161.9092050927667,58.37339086449306,21.12686167069094,4390.77001953125,162.1524375979968,58.49946675358924,22.466569095536702,4449.1201171875,6188200,16388400,569097000,4083090000
2022-04-18,160.04443359375,58.031192779541016,21.745800018310547,4391.68994140625,162.50374132155082,58.69759496858353,22.050277541011962,4410.31005859375,159.21565625039153,57.79704887018282,21.043001834669003,4370.2998046875,161.90917917984902,58.32836777034093,21.163795480742376,4385.6298828125,6318700,11679400,525701000,3910490000
2022-04-19,164.92701721191406,58.59852981567383,22.160091400146484,4462.2099609375,167.5034393507166,58.76062837567294,22.334791782893344,4471.02978515625,162.1073626127331,58.03118829098742,21.27760027107761,4390.6298828125,162.80101842782645,58.08521885411348,21.682907063141688,4390.6298828125,14380800,11993800,512781000,4108120000
